Licensed Frequency (MHz)
558.35000
558.85000
559.77500
560.25000
560.97500
561.95000
562.40000
563.27500
564.82500
565.22500
565.80000
654.22500
654.75000
655.10000
655.77500
656.30000
656.65000
657.15000
658.72500
659.37500
659.87500
660.55000
661.42500
661.87500
